agency_id,route_id,shape_id,stop_sequence,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,arrival_offset,departure_offset,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
cr_transit,R03,S03,66,,Franklin Ave & Prairie Dr,grass to sidewalk,42.00165753,-91.64615371,,,,,,,0:37:00,0:37:00,,,,
cr_transit,R03,S03,67,,20th St across from F Ave,"grass, no sidewalk",41.99992706,-91.64587405,,,,,,,,,,,,
cr_transit,R03,S03,68,,20th St across from D Ave,"grass, no sidewalk",41.99818797,-91.64442292,,,,,,,,,,,,
cr_transit,R03,S03,69,,20th St & B Ave,corner sidewalk,41.99628581,-91.64301242,,,,,,,,,,,,
cr_transit,R03,S03,70,,B Ave & 19th St,corner sidewalk,41.99459714,-91.64592792,,,,,,,,,,,,
cr_transit,R03,S03,71,,19th St & 1st Ave,grass to sidewalk,41.99295692,-91.64467828,,,,,,,0:40:00,0:40:00,,,,
cr_transit,R03,S03,72,,2nd Ave & 18th St,corner sidewalk,41.99088546,-91.64533784,,,,,,,,,,,,
cr_transit,R03,S03,73,,2nd Ave & 16th St,corner sidewalk,41.98900011,-91.64859618,,,,,,,,,,,,
cr_transit,R03,S03,74,,2nd Ave & 15th St,corner sidewalk,41.98747806,-91.65133002,,,,,,,,,,,,
cr_transit,R03,S03,75,,2nd Ave & 14th St (far-side),concrete pad,41.98623397,-91.65330092,,,,,,,,,,,,
cr_transit,R03,S03,76,,13th St & 3rd Ave,corner sidewalk,41.98450276,-91.65413257,,,,,,,,,,,,
cr_transit,R03,S03,77,,3rd Ave & 12th St,corner sidewalk,41.98341901,-91.65605477,,,,,,,,,,,,
cr_transit,R03,S03,78,,10th St & 4th Ave,corner sidewalk,41.98140996,-91.65719444,,,,,,,,,,,,
cr_transit,R03,S03,79,,4th Ave & 8th St,corner sidewalk,41.98011589,-91.65929985,,,,,,,,,,,,
cr_transit,R03,S03,80,,4th Ave & 6th St,corner sidewalk,41.97931999,-91.66247899,,,,,,,,,,,,
cr_transit,R03,S03,81,,4th Ave & RR tracks,concrete pad,41.97752361,-91.66399748,,,,,,,,,,,,
cr_transit,R03,S03,82,,Ground Transportation Center,concrete pad,41.97543347,-91.66660236,,,,,,,0:50:00,0:50:00,,,,
cr_transit,R07,S07,1,,Ground Transportation Center,concrete pad,41.9754687,-91.66665906,,,,,,,0:00:00,0:00:00,,,,
cr_transit,R07,S07,2,,2nd St & 7th Ave,concrete pad,41.97348535,-91.6634884,,,,,,,,,,,,
cr_transit,R07,S07,3,,2nd St & 9th Ave (RR tracks),gravel to sidewalk,41.9719974,-91.66196505,,,,,,,,,,,,
cr_transit,R07,S07,4,,2nd St & 11th Ave,grass to sidewalk,41.97037361,-91.6602066,,,,,,,,,,,,
cr_transit,R07,S07,5,,C St & 16th Ave,grass to sidewalk,41.96416826,-91.66183676,,,,,,,,,,,,
cr_transit,R07,S07,6,,C St & 18th Ave,corner sidewalk,41.96331607,-91.66042509,,,,,,,,,,,,
cr_transit,R07,S07,7,,C St & Bowling St,grass to sidewalk,41.96191335,-91.65769998,,,,,,,,,,,,
cr_transit,R07,S07,8,,C St & Rapids Ave,grass to sidewalk,41.96101041,-91.65582772,,,,,,,,,,,,
cr_transit,R07,S07,9,,C St & Lauren Dr,concrete pad,41.95853954,-91.6518361,,,,,,,,,,,,
cr_transit,R07,S07,10,,C St  across from Hawthorne Hills shelter,concrete pad,41.95737725,-91.65013092,,,,,,,0:07:00,0:07:00,,,,
cr_transit,R07,S07,11,,Fruitland Blvd & Wilson Ave Dr,"grass, no sidewalk",41.95591722,-91.64920518,,,,,,,,,,,,
cr_transit,R07,S07,12,,Wilson Ave Dr & Lauren Dr,corner sidewalk,41.95591416,-91.65196458,,,,,,,,,,,,
cr_transit,R07,S07,13,,2300 Bowling St (Hy-Vee gas station),concrete pad,41.95598271,-91.65735225,,,,,,,,,,,,
cr_transit,R07,S07,14,,Bowling St & 25th Ave,concrete pad,41.95349612,-91.65772295,,,,,,,,,,,,
cr_transit,R07,S07,15,,Bowling St & 27th Ave,concrete pad,41.95194543,-91.65773623,,,,,,,,,,,,
cr_transit,R07,S07,16,,Bowling St & 29th Ave,concrete pad,41.9487326,-91.65743412,,,,,,,,,,,,
cr_transit,R07,S07,17,,Bowling St & 33rd Ave,concrete pad,41.94511806,-91.65735734,,,,,,,,,,,,
cr_transit,R07,S07,18,,Bowling St & 41st Ave (ASAC),concrete pad,41.93780045,-91.65729731,,,,,,,,,,,,
cr_transit,R07,S07,19,,Bowling St & 43rd Ave,concrete pad,41.93603018,-91.65718787,,,,,,,,,,,,
cr_transit,R07,S07,20,,4420 Bowling St  (RR Tracks at Prairie Oaks),concrete pad,41.93394996,-91.65709492,,,,,,,,,,,,
cr_transit,R07,S07,21,,4700 Bowling St (Color Web Printers),concrete pad,41.93266827,-91.65711291,,,,,,,,,,,,
cr_transit,R07,S07,22,,Bowling St & 50th Ave,concrete pad,41.92976132,-91.65712923,,,,,,,,,,,,
cr_transit,R07,S07,23,,50th Ave (RR Tracks),"grass, no sidewalk",41.93048659,-91.66326243,,,,,,,,,,,,
