stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
606,,1st Ave & 6th St,concrete pad,41.981009,-91.664248,,,,,,
607,,1st Ave & 8th St,corner sidewalk,41.982283,-91.662054,,,,,,
608,,1st Ave & 10th St,concrete pad,41.983562,-91.659810,,,,,,
609,,1st Ave & 12th St,concrete pad,41.984809,-91.657862,,,,,,
610,,1st Ave & 13th St,concrete pad,41.985927,-91.655595,,,,,,
611,,1st Ave & 15th St,concrete pad,41.987838,-91.652297,,,,,,
612,,1st Ave & 16th St  (Subway),concrete pad,41.989144,-91.650329,,,,,,
613,,1635 1st Ave (Lasswell's),concrete pad,41.990141,-91.648517,,,,,,
614,,1st Ave & 18th St,grass to sidewalk,41.991386,-91.646320,,,,,,
615,,1st Ave & 19th St,concrete pad,41.992474,-91.644485,,,,,,
616,,1953 1st Ave (1st Ave Professional Building),grass to sidewalk,41.993852,-91.641765,,,,,,
617,,1st Ave & Cottage Grove Ave (far-side),concrete pad,41.996153,-91.638179,,,,,,
618,,1st Ave & Thompson Dr (far-side),concrete pad,41.997884,-91.637000,,,,,,
619,,1st Ave & 24th St Dr,corner sidewalk,41.999912,-91.635906,,,,,,
620,,2517 1st Ave,grass to sidewalk,42.001754,-91.635231,,,,,,
621,,1st Ave & 27th St Dr,concrete pad,42.003231,-91.634491,,,,,,
622,,1st Ave & 29th St Dr (Walgreens),concrete pad,42.005987,-91.634488,,,,,,
623,,1st Ave & 32nd St Dr,concrete pad,42.009639,-91.634597,,,,,,
624,,1st Ave & 34th St Dr,corner sidewalk,42.012207,-91.634842,,,,,,
625,,1st Ave & 36th St Dr,corner sidewalk,42.014766,-91.634930,,,,,,
626,,1st Ave & 38th St Dr,grass to sidewalk,42.016902,-91.634126,,,,,,
627,,1st Ave & 40th St Dr,corner sidewalk,42.019173,-91.632270,,,,,,
628,,4245 1st Ave (Doctors Court),grass to sidewalk,42.022009,-91.629691,,,,,,
629,,Lindale Mall,concrete pad,42.025036,-91.627000,,,,,,
630,,Lindale Hy-Vee,concrete pad,42.025405,-91.631205,,,,,,
631,,Lindale Hy-Vee (4-way stop sign near Arby's),"grass, no sidewalk",42.026797,-91.631742,,,,,,
632,,5155 Northland Ave  (Earl May),"grass, no sidewalk",42.029329,-91.631661,,,,,,
633,,5245 Northland Ave  (Rockwell),"grass, no sidewalk",42.030992,-91.631654,,,,,,
634,,5463 Northland Ave,"grass, no sidewalk",42.032611,-91.631662,,,,,,
635,,266 Blairs Ferry Rd  (Dollar General),grass to sidewalk,42.034253,-91.632920,,,,,,
636,,298 Blairs Ferry Rd  (St. Luke's Services),grass to sidewalk,42.034595,-91.635041,,,,,,
637,,Blairs Ferry Rd & C Ave (far-side),grass to sidewalk,42.034872,-91.639149,,,,,,
638,,500 Blairs Ferry Rd  (Blairs Place),grass to sidewalk,42.034917,-91.641079,,,,,,
639,,Blairs Ferry Rd & Oakwood Ave,grass to sidewalk,42.035075,-91.644312,,,,,,
640,,Blairs Ferry Rd & Addison Ave,"grass, no sidewalk",42.035237,-91.647351,,,,,,
641,,Blairs Ferry Rd & Rockwell Dr (far-side),concrete pad,42.035292,-91.649107,,,,,,
642,,1100 Blairs Ferry Rd  (Blairs Ferry Plaza),grass to sidewalk,42.035325,-91.652520,,,,,,
643,,Blairs Ferry Rd & Dry Creek Ln,"grass, no sidewalk",42.035352,-91.655171,,,,,,
644,,Blairs Ferry Rd & Council St,"grass, no sidewalk",42.035403,-91.658041,,,,,,
